number,date,launch_name,cosmodrome,booster_rocket,result
299,21.04.1968 07:20:01,Запуск космического аппарата «Молния-1»,Байконур,Молния-М,Успешный
300,23.04.1968 02:01:27,Запуск беспилотного космического корабля к Луне,Байконур,Протон-К,Аварийный
301,24.04.1968 19:00:00,Запуск космического аппарата «Космос-217»,Байконур,Циклон-2А,Частично успешный
302,25.04.1968 03:45:10,Запуск космического аппарата «Космос-218»,Байконур,Р-36орб,Успешный
303,26.04.1968 07:42:56,Запуск космического аппарата «Космос-219»,Капустин Яр,Космос-2,Успешный
304,07.05.1968 16:58:00,Запуск космического аппарата «Космос-220»,Плесецк,Космос-3М,Успешный
305,24.05.1968 10:04:50,Запуск космического аппарата «Космос-221»,Капустин Яр,Космос-2,Успешный
306,30.05.1968 23:29:49,Запуск космического аппарата «Космос-222»,Плесецк,Космос-2,Успешный
307,01.06.1968 13:50,Запуск космического аппарата «Космос-223»,Плесецк,Восход,Успешный
308,04.06.1968 09:45:02,Запуск космического аппарата «Космос-224»,Байконур,Восход,Успешный
309,04.06.1968 21:45:00,Запуск космического аппарата,Плесецк,Космос-3М,Аварийный
310,12.06.1968 00:29:54,Запуск космического аппарата «Космос-225»,Капустин Яр,Космос-2,Успешный
311,12.06.1968 16:14:59,Запуск космического аппарата «Космос-226»,Плесецк,Восток-2М,Успешный
312,15.06.1968 15:25,Запуск космического аппарата,Байконур,Космос-3,Аварийный
313,18.06.1968 09:15:06,Запуск космического аппарата «Космос-227»,Байконур,Восход,Успешный
314,21.06.1968 15:00:03,Запуск космического аппарата «Космос-228»,Байконур,Восход,Успешный
315,26.06.1968 14:00:01,Запуск космического аппарата «Космос-229»,Плесецк,Восход,Успешный
316,05.07.1968 09:59:50,Запуск космического аппарата «Космос-230»,Капустин Яр,Космос-2,Успешный
317,05.07.1968 18:25:59,Запуск космического аппарата «Молния-1»,Байконур,Молния-М,Успешный
318,10.07.1968 22:49:58,Запуск космического аппарата «Космос-231»,Байконур,Восход,Успешный
319,16.07.1968 16:10:00,Запуск космического аппарата «Космос-232»,Плесецк,Восход,Успешный
320,18.07.1968 22:59:50,Запуск космического аппарата «Космос-233»,Плесецк,Космос-2,Успешный
321,30.07.1968 10:00:00,Запуск космического аппарата «Космос-234»,Байконур,Восход,Успешный
322,09.08.1968 10:00:00,Запуск космического аппарата «Космос-235»,Байконур,Восход,Успешный
323,27.08.1968 14:29,Запуск космического аппарата «Космос-236»,Байконур,Космос-3,Успешный
324,27.08.1968 15:29:59,Запуск космического аппарата «Космос-237»,Плесецк,Восход,Успешный
325,28.08.1968 13:00:00,Запуск беспилотного космического корабля «Космос-238»,Байконур,Союз,Успешный
326,05.09.1968 10:00:01,Запуск космического аппарата «Космос-239»,Байконур,Восход,Успешный
327,14.09.1968 09:50:00,Запуск космического аппарата «Космос-240»,Байконур,Восход,Успешный
328,15.09.1968 00:42:11,Запуск беспилотного космического корабля «Зонд-5» к Луне,Байконур,Протон-К,Успешный
329,16.09.1968 15:30:01,Запуск космического аппарата «Космос-241»,Плесецк,Восход,Успешный
330,20.09.1968 17:39:59,Запуск космического аппарата «Космос-242»,Плесецк,Космос-2,Успешный
331,23.09.1968 10:39:59,Запуск космического аппарата «Космос-243»,Байконур,Восход,Успешный
332,02.10.1968 16:35:01,Запуск космического аппарата «Космос-244»,Байконур,Р-36орб,Успешный
333,03.10.1968 15:58:59,Запуск космического аппарата «Космос-245»,Плесецк,Космос-2,Успешный
334,05.10.1968 03:32:00,Запуск космического аппарата «Молния-1»,Байконур,Молния-М,Успешный
